brand name,produc name,category,price (PKR from naheed),skin type,ingredients,benefits,rating,total ratings,product url
Neutrogena,"Retinol Boost Anti Age Night Cream, 50ml",Night Cream/Moisturizer,7000,"All, Aging","Aqua, Pentaerythrityl Tetraethylhexanoate, Dimethicone, Glycerin, PPG-15 Stearyl Ether, Stearyl Alcohol, Cetearyl Alcohol, Butylene Glycol, Ceteareth-20, Isohexadecane, Retinol, Hydrolyzed Myrtus Communis Leaf Extract, Caprylic/Capric Triglyceride, Ethylhexylglycerin, Sodium Hyaluronate, Caprylyl Glycol, Polyacrylamide, Cellulose, C13-14 Isoparaffin, Laureth-7, Dimethicone Crosspolymer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Disodium EDTA, Sodium Hydroxide, BHT, Ascorbic Acid, Phenoxyethanol, Chlorphenesin, Parfum. [PR-0003168]","Targets fine lines and wrinkles for visibly younger skin
,Powered by pure retinol for effective anti-aging benefits
,Deeply hydrates and nourishes while you sleep
,Improves skin tone and texture, promoting a radiant glow",4.2,287,https://www.amazon.co.uk/Neutrogena-Retinol-Boost-Night-Cream/dp/B0C784F52M?th=1
Neutrogena,"Retinol Boost Anti-Aging Eye Cream, Fragrance Free, 15ml",Eye Care,4500,"All, Aging","Aqua, Pentaerythrityl Tetraethylhexanoate, Dimethicone, Glycerin, PPG-15 Stearyl Ether, Stearyl Alcohol, Cetearyl Alcohol, Butylene Glycol, Ceteareth-20, Isohexadecane, Retinol, Hydrolyzed Myrtus Communis Leaf Extract, Caprylic/Capric Triglyceride, Ethylhexylglycerin, Sodium Hyaluronate, Caprylyl Glycol, Polyacrylamide, Cellulose, C13-14 Isoparaffin, Laureth-7, Dimethicone Crosspolymer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Disodium EDTA, Sodium Hydroxide, BHT, Ascorbic Acid, Phenoxyethanol, Chlorphenesin. [PR-0003158]","moisturises to improve skin tone & texture around the eyes, while targeting multiple visible signs of ageing",4.2,287,https://www.amazon.co.uk/Neutrogena-Retinol-Boost-Eye-Cream/dp/B0C784F52M?th=1
Neutrogena,"Retinol Boost Anti-Aging Day Cream With SPF 15, 50ml",Day Cream/Moisturizer,8500,"All, Aging","Aqua, Homosalate, C12-15 Alkyl Benzoate, Ethylhexyl Salicylate, Dimethicone, Octocrylene, Glycerin, Butyl Methoxydibenzoylmethane, Cetyl Alcohol, Steareth-21, Trisiloxane, Cellulose, Stearyl Alcohol, Retinol, Hydrolyzed Myrtus Communis Leaf Extract, Caprylic/Capric Triglyceride, Sodium Hyaluronate, Ethylhexylglycerin, Caprylyl Glycol, Glyceryl Stearate, PEG-100 Stearate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Xanthan Gum, Disodium EDTA, Sodium Hydroxide, BHT, Ascorbic Acid, Phenoxyethanol, Chlorphenesin, Parfum. [PR-0004203]"," improves tone and texture to help the skin glow. It absorbs quickly and targets multiple visible signs of early ageing (including fine lines, wrinkles, dryness, pigmentation spots and a lack of firmness)",4.3,93,https://www.amazon.co.uk/Neutrogena-Retinol-Boost-Day-Cream/dp/B0C785CC24
Neutrogena,"Bright Boost Neoglucosamine AHA+PHA Gel Cream, For All Skin Types, Reduce Hyperpigmentation & Dark Spots, 50ml",Gel Cream,4050,All,"AQUA, DIMETHICONE, GLYCERIN, MANDELIC ACID, GLUCONOLACTONE, ACETYL GLUCOSAMINE, TRIETHYL CITRATE, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, POLYACRYLATE CROSSPOLYMER-6, BUTYLENE GLYCOL, ETHYLHEXYLGLYCERIN, SQUALANE, ALUMINUM STARCH OCTENYLSUCCINATE, DIMETHICONOL, MICA, SILICA, TIN OXIDE, CETEARYL OLIVATE, SORBITAN OLIVATE, SORBITAN ISOSTEARATE, POLYSORBATE 60, CETEARYL ALCOHOL, DIMETHICONE CROSSPOLYMER, COCO-GLUCOSIDE, T-BUTYL ALCOHOL, SUCCINOGLYCAN, DISODIUM EDTA, SODIUM HYDROXIDE, CHLORPHENESIN, PHENOXYETHANOL, PARFUM, BENZYL SALICYLATE, CITRONELLOL, CI 77891, CI 16035. [PR-0000816]","Prevent hyperpigmentation
,Reduce the appearance of dark spots",4.3,6053,https://www.amazon.com/Neutrogena-Brightening-Moisturizing-Resurfacing-Neoglucosamine/dp/B07T8F3VS9
Neutrogena,"Bright Boost Neoglucosamine Illuminating Serum, For All Skin Types, Reduce Hyperpigmentation & Dark Spots, 30ml",Serum,4500,All,"Water (eau), Glycerin, Dimethicone, Acetyl Glucosamine, Propylene Glycol, Dimethiconol, Phenoxyethanol, Carbomer, Tetrahydrodiferuloylmethane, Hexylresorcinol, Disodium EDTA, Sodium Hydroxide, Dimethicone/ Vinyl Dimethicone Crosspolymer, Pentylene Glycol, Parfum, Amodimethicone, Ethylhexylglycerin, Silica, Mica, Titanium Dioxide.",exfoliates & reduces the look of imperfections,4.3,3551,https://www.amazon.com/Neutrogena-Illuminating-Neoglucosamine-Resurfacing-Hyperpigmentation/dp/B07T8F816V
Neutrogena,"Soothing Clear Turmeric Mask, Oils & Sulphates Free, 50ml",Face Mask,2500,"Acne Prone/Spot Prone, Combination","[PR-0002937] Aqua, Glycerin, Kaolin, Bentonite, Sodium Methyl Cocoyl Taurate, CI 77891, Trideceth-9, Salicylic Acid, C12-15 Alkyl Lactate, Curcuma Longa Root Extract, Cocamidopropyl PG-Dimonium Chloride Phosphate, Menthol, Cetyl Lactate, Cetyl Alcohol, PEG-5 Ethylhexanoate, Sodium C14-16 Olefin Sulfonate, Sodium Chloride, Xanthan Gum, Disodium EDTA, Citric Acid, Sodium Citrate, Sodium Hydroxide, Phenoxyethanol, Chlorphenesin, Benzalkonium Chloride, Parfum, CI 77492","preserves the skin's essential moisture, and soothes skin for a balanced, healthy look, Great for sensitive spot-prone, combination or dehydrated skin",4.1,318,https://www.amazon.ae/Neutrogena-Soothing-Clear-Absorbs-Stressed/dp/B09RKF1JNL?th=1
Neutrogena,"Bright Boost Gel Fluid SPF30 With Neoglucosamine +Vitamin C & E, Reduce Hyperpigmentation & Dark Spots, 50ml",,3600,All,"AQUA, HOMOSALATE, GLYCERIN, ETHYLHEXYL SALICYLATE, CAPRYLYL METHICONE, PHENYLBENZIMIDAZOLE SULFONIC ACID, OCTOCRYLENE, BUTYL METHOXYDIBENZOYLMETHANE, DIISOPROPYL ADIPATE, ACETYL GLUCOSAMINE, DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER, C14-22 ALCOHOLS, MORINGA OLEIFERA SEED EXTRACT, HYDROXYACETOPHENONE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, MICA, CAPRYLYL GLYCOL, TIN OXIDE, SILICA, ISOHEXADECANE, GLYCERYL STEARATE, SORBITAN ISOSTEARATE, C12-20 ALKYL GLUCOSIDE, PEG-100 STEARATE, POLYSORBATE 60, ACRYLATES COPOLYMER, XANTHAN GUM, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, DISODIUM EDTA, SODIUM HYDROXIDE, CITRIC ACID, DISODIUM PHOSPHATE, TOCOPHERYL ACETATE, SODIUM ASCORBYL PHOSPHATE, PHENOXYETHANOL, CHLORPHENESIN, PARFUM, CITRONELLOL, BENZYL SALICYLATE, CI 77891, CI 16035. [PR-0000972]","It helps to prevent hyperpigmentation
,reduces the appearance of dark spots for more even, healthy-looking brighter skin.
,It also provides UVA/UVB broad spectrum skin protection",3.9,91,https://www.amazon.eg/-/en/Neutrogena-Fluid-SPF30-Bright-Boost/dp/B09485J23H?th=1
Neutrogena,"Soothing Clear Turmeric Oil-Free Moisturizer, 75ml",Moisturizer,2500,Sensitive,"[PR-0000917] Aqua, Glycerin, Dimethicone, Curcuma Longa Extract, Zea Mays Starch, Ethylhexylglycerin, Panthenol, Caprylyl Glycol, Polyacrylamide, Cetearyl Olivate, Sorbitan Olivate, Dimethicone Crosspolymer, C13-14 Isoparaffin, Laureth-7, Carbomer, Citric Acid, Sodium Hydroxide, Tocopherol, Phenoxyethanol, Parfum, Limonene, Eugenol, Benzyl Benzoate, Geraniol, Coumarin, CI 19140, CI 15985","t soothes stressed and impurity-prone skin,  Will not fade, clog pores or leave no sticky residue",4.3,2486,https://www.amazon.com.be/-/en/Neutrogena-Turmeric-Moisturizer-Sensitive-Impurities/dp/B087ZG94GD?th=1
Neutrogena,"Soothing Clear Turmeric Mist Toner, 125ml",Mist/Toner,2500,Sensitive,"[PR-0000940] Aqua, Glycerin, Glycereth-26, Curcuma Longa Extract, Panthenol, Polysorbate 20, Citric Acid, Phenoxyethanol, Sodium Benzoate, Parfum, CI 15985","Refreshes, calms, and soothes skin while leaving no residue",4.4,1731,https://www.amazon.co.uk/Neutrogena-Clear-Soothe-Toning-Mist/dp/B081S132B6?th=1
Neutrogena,"Soothing Clear Turmeric Mousse Cleanser, For Spot Prome Skin, 150ml",Cleanser,2800,"Sensitive, Acne Prone","Aqua, Cocamidopropyl Betaine, Glycerin, Decyl Glucoside, Sodium Hydrolyzed Potato Starch Dodecenylsuccinate, Citric Acid, Sodium Chloride, Sodium Hydroxide, Curcuma Longa Extract, Linoleamidopropyl PG-Dimonium Chloride Phosphate, Potassium Acrylates Copolymer, Propylene Glycol, Disodium Tetrapropenyl Succinate, Sodium Lauryl Sulfate, Sodium C14-16 Olefin Sulfonate, Disodium EDTA, Tocopheryl Acetate, Phenoxyethanol, Sodium Benzoate, Parfum, CI 15985 [PR-0000932]"," effectively removes pore-clogging dirt, oil, and makeup without stripping for soft and healthy-looking skin, calming",4.5,1354,https://www.amazon.com/Neutrogena-Soothing-Cleanser-Acne-Prone-Paraben-Free/dp/B084K55WXD
Neutrogena,"Retinol Boost Anti-Aging Serum, 30ml",Serum,8500,"All, Aging","Aqua, Dimethicone, Aluminum Starch Octenylsuccinate, Dimethicone Crosspolymer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Cellulose, C12-15 Alkyl Benzoate, Ascorbyl Glucoside, Retinol, Hydrolyzed Myrtus Communis Leaf Extract, Caprylic/Capric Triglyceride, Sodium Hyaluronate, Ethylhexylglycerin, Glycerin, Caprylyl Glycol, C13-14 Isoparaffin, Laureth-7, Polyacrylamide, Xanthan Gum, Disodium EDTA, Sodium Hydroxide, BHT, Ascorbic Acid, Phenoxyethanol, Parfum. [PR-0003157]","Softens fine lines
,Brightens dark spots
,Smooths texture
,Boosts radiance",4.2,287,https://www.amazon.co.uk/Neutrogena-90122500-Retinol-Boost-Serum/dp/B0C78288P8?th=1
Neutrogena,"Purescreen Minreal Beach Defense Body Lotion SPF-30, 88ml",Sunscreen,5300,All,"Zinc (18.7%),Titanium Oxide (6.5%),Vitamin E, Water, Isohexadecane, C12-15 Alkyl Benzoate, Ethylhexyl methoxycrylene, Behenyl Alcohol, Steareth-21, Glyceryl Stearate, PEG-100 Stearate, Calcium Aluminum Borosilicate, Euphorbia Cerifera (Candelilla) Wax, Polyhydroxystearic Acid, Cetyl Alcohol, Triethoxycaprylylsilane, Aluminum Hydroxide, Xanthan Gum, Stearic Acid, Phenoxyethanol, Ethylhexylglycerin, Chlorphenesin, Tocopheryl Acetate, Disodium EDTA, Fragrance, Glycerin, Aloe Barbadensis Leaf Extract","Broad-spectrum protection shields against UVA/UVB rays effectively
Ideal for beach trips, outdoor sports, or daily sun exposure
Water-resistant design provides reliable protection during water activities",4.1,48,https://www.amazon.com/Neutrogena-Purescreen-Performance-Water-Resistant-Protection/dp/B0BLS55K2N
Neutrogena,"Invisible Daily Defense Lotion Sunscreen, SPF-60, 88ml",Sunscreen,5800,All,"Avobenzone (3%), Homosalate (13.5%), Octisalate (5%), Octocrylene (10%),Water, Butyloctyl Salicylate, Glycerin, Alcohol Denat, Silica, Dimethicone, Aluminum Starch Octenylsuccinate, Polyurethane-62, Phenoxyethanol, Pentylene Glycol, Sodium Acryloyldimethyltaurate/Vp Crosspolymer, Acrylates/Dimethicone Copolymer, Glyceryl Stearate, Chlorphenesin, Styrene/Acrylates Copolymer, Fragrance, Menthyl Lactate, Tocopheryl Acetate, Disodium Edta, Trideceth-6, Chrysanthemum Parthenium (Feverfew) Flower/Leaf/Stem Juice, Sodium Hydroxide, Yellow 5, Red 40","Lightweight, non-greasy feel your skin will love,
Fights against signs of skin-aging caused by the sun,
Non-comedogenic (won’t clog pores),
Oxybenzone-free, paraben-free, oil-free,
Water and sweat-resistant (80 mins)",4.4,8429,https://www.amazon.com/Neutrogena-Oxybenzone-Free-Water-Resistant-Environmental-Antioxidant/dp/B08HWH65L8
Neutrogena,"Age Shield Face Oil-Free Sunscreen, SPF-70, 88ml",Sunscreen,5400,All,"Avobenzone (3%), Homosalate (15%), Octisalate (5%), Octocrylene (10%), water, butyloctyl salicylate, styrene/acrylates copolymer, silica, dimethicone, potassium cetyl phosphate, benzyl alcohol, beeswax, caprylyl methicone, glyceryl stearate, peg-100 stearate, cetyl dimethicone, caprylyl glycol, ethylhexylglycerin, aluminum starch octenylsuccinate, behenyl alcohol, acrylates/dimethicone copolymer, xanthan gum, chlorphenesin, dimethicone/peg-10/15 crosspolymer, sodium polyacrylate, hydrolyzed jojoba esters, chrysanthemum parthenium (feverfew) flower/leaf/stem juice, fragrance, disodium edta, ethylhexyl stearate, glycine soja (soybean) seed extract, tocopheryl acetate, bht, jojoba esters, trideceth-6","Anti-aging, Moisturizing, Non-comedogenic, Replenishing",4.6,21923,https://www.amazon.com/Neutrogena-Anti-Oxidant-Sunscreen-Non-Comedogenic-Moisturizing/dp/B01LTI9PKW
Neutrogena,"Spot Controlling Oil Free Facial Wash, 200ml",Face Wash,3000,Acne Prone/Spot Prone,"Aqua, Cocamidopropyl Hydroxysultaine, Sodium Methyl Cocoyl Taurate, Glycerin, 2% Salicylic Acid, Sodium Hydrolyzed Potato Starch Dodecenylsuccinate, C12-15 Alkyl Lactate, Panthenol, Cocamidopropyl PG-Dimonium Chloride Phosphate, Disodium Tetrapropenyl Succinate, PEG-120 Methyl Glucose Dioleate, Sodium Chloride, Disodium EDTA, Citric Acid, Sodium Hydroxide, Tocopherol, Benzalkonium Chloride, Parfum","Cleanses the skin
For a refined complexion
Helps defend against future breakouts
Oil-free formula
For spot-prone skin",4.4,2338,https://www.amazon.sa/-/en/Neutrogena-Controlling-Oil-free-Facial-200ml/dp/B07MTXY4MK?th=1
Neutrogena,"Bright Boost Illuminating Serum For All Skin Types, 30ml",Serum,4500,All,"AQUA, GLYCERIN, DIMETHICONE, ACETYL GLUCOSAMINE, PROPYLENE GLYCOL, AMODIMETHICONE, ETHYLHEXYLGLYCERIN, HEXYLRESORCINOL, DIMETHICONOL, SILICA, MICA, PENTYLENE GLYCOL, CARBOMER, DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER, DISODIUM EDTA, SODIUM HYDROXIDE, TETRAHYDRODIFERULOYLMETHANE, PHENOXYETHANOL, PARFUM, BENZYL SALICYLATE, CITRONELLOL, CI 77891. [PR-0001017] ","Anti-Aging, Even Toning, Brightening",4.2,595,https://www.amazon.sa/-/en/Neutrogena-Illuminating-Serum-Bright-Boost/dp/B098WBM43F?th=1
Neutrogena,"Sheer Zinc Mineral Sunscreen, SPF 50, 88ml",Sunscreen,5500,All,"Zinc oxide (21.6%) (Sunscreen), Water, C12-15 Alkyl Benzoate, Styrene/Acrylates Copolymer, Octyldodecyl Citrate Crosspolymer, Phenyl Trimethicone, Cetyl Peg/Ppg-10/1 Dimethicone, Dimethicone, Glycerin, Polyhydroxystearic Acid, Ethyl Methicone, Silica, Cetyl Dimethicone, Triethoxycaprylylsilane, Phenoxyethanol, Glyceryl Behenate, Sodium Chloride, Acrylates/Dimethicone Copolymer, Chlorphenesin, Phenethyl Alcohol, Caprylyl Glycol, Cetyl Dimethicone/Bis-Vinyldimethicone Crosspolymer, Chrysanthemum Parthenium (Feverfew) Flower/Leaf/Stem Juice","provides superior protection against aging UVA and burning UVB rays to help prevent sunburn,  water-resistant",4.3,11865,https://www.amazon.com/Neutrogena-Dry-Touch-Sunscreen-Non-Comedogenic-Non-Greasy/dp/B01MDOA0V4
Neutrogena,"Blackhead Eliminating Oil-Free Cleansing Toner, 200ml","Cleanser, Toner",2100,"All, Blackhead Prone","Aqua, Alcohol Denat., PPG-5-Ceteth-20, Glycerin, Citric Acid, Salicylic Acid, Menthyl Lactate, Sodium Citrate, Parfum. [PR-0000532]","deeply cleans to remove dirt and oil trapped in your pores, the impurities that can lead to blackheads, Anti Acne",4.4,3619,https://www.amazon.co.uk/Neutrogena-Blackhead-Eliminating-Toner-200ml/dp/B07WDTB9X7?th=1
Neutrogena,"Fresh & Clear Pink Grapefruit Facial Wash, For Blemish Prone Skin, 200ml",Face Wash,3000,"All, Blemish Prone ","Aqua, Glycerin, Sodium Laureth Sulfate, Lauryl Glucoside, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Citrus Grandis Fruit Extract, Propylene Glycol, Sodium Benzotriazolyl Butylphenol Sulfonate, Disodium EDTA, Citric Acid, Sodium Hydroxide, Sodium Ascorbyl Phosphate, Sodium Benzoate, Parfum, CI 16035, CI 60725.","Tackles Blemishes, for a clearer, radiant complexion,
Does not over dry skin,
With Vitamin C,
Paraben & Oil-free,
Non-comedogenic (won't clog pores)
",4.6,14854,https://www.amazon.com/Neutrogena-Oil-free-Salicylic-Grapefruit-Cleansing/dp/B07GKVBRMP?th=1
Neutrogena,"Hydro Boost Gel-Cream, Dry Skin, Fragrance Free, 50ml",Gel Cream/Moisturizer,4500,Dry,"Water (eau), Glycerin, Dimethicone, Cetearyl Olivate, Sorbitan Olivate, Sodium Hyaluronate, Serine, Glycine, Alanine, Threonine, Arginine, Proline, Lysine HCl, Glutamic Acid, Sodium PCA, PCA, Sodium Lactate, Urea, Sodium Chloride, Citric Acid, Betaine, Allantoin, Fructose, Maltose, Trehalose, Glucose, Pentylene Glycol, Synthetic Beeswax, Polyacrylate Crosspolymer-6, Dimethicone Crosspolymer, Dimethiconol, Ethylhexylglycerin, Caprylyl Glycol, Sodium Hydroxide","Gentle formula - color-free, fragrance-free
Keeps skin hydrated and soft
Contains olive extracts - holds skin strengthening and detoxifying properties
Traps in moisture - prevents cracks and dry patches
Blends smoothly and quickly into the skin",4.6,45559,https://www.amazon.com/Neutrogena-Hyaluronic-Hydrating-Moisturizer-Gel-Cream/dp/B00NR1YQK4
Neutrogena,"Hydro Boost Cleanser Water Gel, 200ml",Cleanser,3250,"Sensitive, Normal, Dry","Aqua, Glycerin, Cocamidopropyl Hydroxysultaine, Sodium Cocoyl Isethionate, Sodium Methyl Cocoyl Taurate, Sodium Hydrolyzed Potato Starch Dodecenylsuccinate, Hydrolyzed Hyaluronic Acid, Ethylhexylglycerin, Linoleamidopropyl PG-Dimonium Chloride Phosphate, Polyquaternium-10, Polysorbate 20, Sodium Isethionate, Sodium Lauryl Sulfate, Sodium C14-16 Olefin Sulfonate , Potassium Acrylates Copolymer, Sodium Chloride, Propylene Glycol, Disodium EDTA, Citric Acid, Sodium Hydroxide, Hydroxyacetophenone, Tocopheryl Acetate, Phenoxyethanol, Parfum. [PR-017060]","Provides deep-cleansing - removes dirt and impurities
Contains hyaluronic acid - increases the hydration level of skin
Leaves a refreshed, clean and soft skin behind
Suits sensitive skin type",4.7,26068,https://www.amazon.com/Neutrogena-Lightweight-Hyaluronic-Hypoallergenic-Paraben-Free/dp/B01LETURZI
Neutrogena,"Hydro Boost Eye Refreshing Gel-Cream, 15ml",Eye Care,1500,All,"Water, Dimethicone, Glycerin, Cetearyl Olivate, Sorbitan Olivate, Polyacrylamide, Phenoxyethanol, Dimethicone/Vinyl Dimethicone Crosspolymer, Synthetic Beeswax, C13-14 Isoparaffin, Dimethicone Crosspolymer, Carbomer, Trehalose, Dimethiconol, Chlorphenesin, Laureth-7, Sodium Hyaluronate, Ethylhexylglycerin, Sodium Hydroxide, C12-14 Pareth-12","Packed with richly moisturizing ingredients
Brightens up under eye area",4.4,20062,https://www.amazon.com/Neutrogena-Hydrating-Hyaluronic-Dermatologist-Recommended/dp/B00NR1YIKM
Neutrogena,On-The-Spot Acne Treatment Vanishing Cream 21gm,Cream,5400,"Acne Prone, Sensitive","Benzoyl Peroxide 2.5%, Water, Carbomer Homopolymer Type B, Ethylhexylglycerin, Sodium Hydroxide, Chlorphenesin, Disodium Edta, Laureth-4, Hydroxypropyl Methylcellulose","kill acne bacteria that cause pimples and helps to prevent new ones from forming,Over-the-counter acne medication
Oil-free,
Non-comedogenic (won't clog pores),",4.5,125,https://www.amazon.com/Neutrogena-Spot-Treatment-Vanishing-Formula/dp/B01IA9EDZA
Neutrogena,"Ultra Sheer Dry-Touch Sunscreen, SPF 70, 88ml",Sunscreen,5400,"Oily, Combination, Normal","Avobenzone (3%), Homosalate (15%), Octisalate (5%), Octocrylene (10%),Water, Butyloctyl Salicylate, Styrene/Acrylates Copolymer, Silica, Dimethicone, Potassium Cetyl Phosphate, Benzyl Alcohol, Beeswax, Caprylyl Methicone, Aluminum Starch Octenylsuccinate, Glyceryl Stearate, Peg-100 Stearate, Cetyl Dimethicone, Caprylyl Glycol, Ethylhexylglycerin, Behenyl Alcohol, Acrylates/Dimethicone Copolymer, Xanthan Gum, Chlorphenesin, Dimethicone/Peg-10/15 Crosspolymer, Sodium Polyacrylate, Hydrolyzed Jojoba Esters, Fragrance, Disodium Edta, Ethylhexyl Stearate, Tocopheryl Acetate, Bht, Jojoba Esters, Trideceth-6","Lightweight feel that glides on skin with an invisible, non-greasy finish,
HELIOPLEX® formula to provide superior broad spectrum protection,
Oil-free and non-comedogenic for a non-greasy feel.",4.6,89891,https://www.amazon.com/Neutrogena-Ultra-Dry-Touch-Sunscreen-Spectrum/dp/B005IHT94S?th=1
Neutrogena,"Oil Balancing Facial Wash, With Lime, For Oily Skin, 200ml",Face Wash,3000,Oily,"Aqua, Glycerin, Sodium Laureth Sulfate, Lauryl Glucoside, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aloe Barbadensis Leaf Juice, Citrus Aurantifolia Juice, Propylene Glycol, Disodium EDTA, Citric Acid, Sodium Hydroxide, Potassium Sorbate, Sodium Sulfite, Sodium Benzoate, Parfum, CI 15985, CI 42090. [PR-0000652]","Provides immediate results by clearing dirt from your skin pores
Hypoallergenic and completely safe for your skin
Comes with special fragrance
Also improves the skin complexion",4.3,371,https://www.amazon.eg/-/en/Neutrogena-Balancing-Facial-Wash-200ml/dp/B07P142JYW?th=1
