Brand,Product Name,Category,Price,skin type,Benefit,Product Rating,total ratings,URL,Ingredients
The INKEY List,Beta Hydroxy Acid (BHA) Blemish + Blackhead Serum,Face Serums,$10 ,"Normal, Combination, Oily","Cleansing,Hydrating,Soothing, helping to unclog pores, gently exfoliate",4.2,171,https://www.amazon.com/INKEY-List-Hydroxy-Exfoliant-Blackheads/dp/B09PP2TR67,"['Water, Propanediol, Betaine, Salicylic Acid, Sodium Hyaluronate, Zinc PCA, Phenoxyethanol, Hydroxyethylcellulose, Maltodextrin, Sodium Hydroxide, Ethylhexylglycerin, Biosaccharide Gum-1, Trisodium Ethylenediamine Disuccinate.']"
The INKEY List,Bakuchiol Retinol Alternative Moisturizer,Face Serums,$15 ,"All, Aging","helps to reduce the appearance of fine lines and wrinkles and even skin tone, antioxidant, hydrate and nourish",4.1,22,https://www.amazon.com/INKEY-List-Bakuchiol-Moisturizer/dp/B0C2JP2LCB,"['Water (Aqua), Squalane, Glycerin, Propanediol, Plukenetia Volubilis Seed Oil (Sacha Inchi oil), Dicaprylyl Carbonate, Bakuchiol, Phenoxyethanol, Sodium Caproyl Prolinate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Carbomer, Sodium Hydroxide, Ethylhexylglycerin, Sodium Stearoyl Glutamate, Polysorbate 60, Phytic Acid, Glyceryl Polyacrylate, Sorbitan Isostearate, Tocopherol.']"
The INKEY List,Fulvic Acid Brightening Cleanser,Face Wash & Cleansers,$13 ,All,"Cleansing, soothes and reduces hyperpigmentation, levels out skin tone, boosts skin radiance",4.3,1010,https://www.amazon.com/INKEY-List-Brightening-Cleanser-Exfoliates/dp/B09235WDY6,"['Water (Aqua/Eau), Coco-Glucoside, Glycerin, Butylene Glycol, Xanthan Gum, Phenoxyethanol, Benzyl Alcohol, Aloe Barbadensis Leaf Juice, Caprylic/Capric Triglyceride, Peat, Glycyrrhiza Glabra (Licorice) Root Extract, PEG-200 Hydrogenated Glyceryl Palmate, PEG-7 Glyceryl Cocoate, Disodium EDTA, Helianthus Annuus (Sunflower) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Dehydroacetic Acid, Terminalia Ferdinandiana Fruit Extract, Potassium Sorbate.']"
The INKEY List,Mini Fulvic Acid Brightening Cleanser,Face Wash & Cleansers,$7 ,All,"Cleansing, soothes and reduces hyperpigmentation, levels out skin tone, boosts skin radiance",4.3,1010,https://www.amazon.com/INKEY-List-Brightening-Cleanser-Exfoliates/dp/B0B2KNHN59?th=1,"['Water (Aqua/Eau), Coco-Glucoside, Glycerin, Butylene Glycol, Xanthan Gum, Phenoxyethanol, Benzyl Alcohol, Aloe Barbadensis Leaf Juice, Caprylic/Capric Triglyceride, Peat, Glycyrrhiza Glabra (Licorice) Root Extract, PEG-200 Hydrogenated Glyceryl Palmate, PEG-7 Glyceryl Cocoate, Disodium EDTA, Helianthus Annuus (Sunflower) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Dehydroacetic Acid, Terminalia Ferdinandiana Fruit Extract, Potassium Sorbate.']"
The INKEY List,Ceramide Hydrating Night Treatment,Face Serums,$14 ,Dry,locks in moisture and restores the skins barrier leaving you with healthy supple skin,4.4,331,https://www.amazon.com/Inkey-List-Ceramide-Night-Treatment/dp/B09N9Z2T94,"['Water, Butylene Glycol, Glycerin, Sodium Hyaluronate, Simmondsia Chinensis (Jojoba) Seed Oil, Carbomer, Phenoxyethanol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Benzyl Alcohol, Squalane, Sodium Lauroyl Lactylate, Sodium PCA, Sodium Hydroxide, Sodium Stearoyl Glutamate, Sodium Lactate, Arginine, Aspartic Acid, Ethylhexylglycerin, Sodium Gluconate, PCA, Polysorbate 60, Dehydroacetic Acid, Ceramide NP, Glycine, Alanine, Sorbitan Isostearate, Ceramide AP, Phytosphingosine, Serine, Cholesterol, Valine, Xanthan Gum, Isoleucine, Proline, Threonine, Histidine, Phenylalanine, Ceramide EOP.']"
The INKEY List,"Vitamin B, C, and E Moisturizer",Moisturizers,$10 ,All,"Cleansing,Hydrating,Moisturizing,Smoothening,Soothing, increases radiance",4.5,825,https://www.amazon.com/INKEY-List-Vitamin-Moisturizer-Cruelty-Free/dp/B0C2JNQ679,"['Aqua (Water/Eau), Glycerin, Glyceryl Stearate SE, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Cocos Nucifera (Coconut) Oil, Stearic Acid, Phenoxyethanol, Benzyl Alcohol, Carbomer, Sodium Hydroxide, Niacinamide, Panthenol, Sodium Ascorbyl Phosphate, Sodium Hyaluronate, Tocopheryl Acetate, Ethylhexylglycerin, Dehydroacetic Acid, Lecithin, Trisodium Ethylenediamine Disuccinate, Ascorbyl Palmitate, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil.']"
The INKEY List,Glycolic Acid Exfoliating Toner,Toners,$14 ,"Normal, Combination, Oily","Helps enlarged pores, uneven skin tone and texture, and dull skin",4.3,1254,https://www.amazon.com/INKEY-List-Glycolic-Exfoliator-Reduce/dp/B07GLHC5J9,"['Water, Glycolic Acid, Propanediol, Hamamelis Virginiana (Witch Hazel) Water, Sodium Hydroxide, Butylene Glycol, Phenoxyethanol, Alcohol, PPG-26-Buteth-26, Betaine, PEG-40 Hydrogenated Castor Oil, Boerhavia Diffusa Root Extract, Ethylhexylglycerin, Trisodium Ethylenediamine Disuccinate.']"
The INKEY List,Kaolin Mask,Face Masks,$13.30 ,"All, Oily","Anti Acne, Pore Treatment",4.3,628,https://www.amazon.co.uk/INKEY-List-Removing-Impurities-Absorbing/dp/B07GLSXHL7,"['Water, Kaolin, Glycerin, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Cetearyl Olivate, Helianthus Annuus (Sunflower) Seed Oil, Magnesium Aluminum Silicate, Phenoxyethanol, Sorbitan Olivate, Glyceryl Stearate SE, Stearic Acid, Benzyl Alcohol, Aloe Barbadensis Leaf Juice Powder, Sodium Stearoyl Glutamate, Centella Asiatica Leaf Extract, Ethylhexylglycer-in, Tocopherol, Tocopheryl Acetate, Xanthan Gum, Chondrus Crispus (Carrageenan) Extract, Dehydroacetic Acid, Trisodium Ethylenediamine Disuccinate, Lithothamnium Calcarum Extract, Sodium Hydroxide, Potassium Sorbate, Sodium Benzoate.']"
The INKEY List,Hyaluronic Acid Cleanser,Face Wash & Cleansers,$12.97 ,"Normal, Dry, All","Hydrating, Optimizes skin Ph",4.4,136,https://www.amazon.com/INKEY-List-Hyaluronic-Acid-Cleanser/dp/B0B68VH998,"['Water (Aqua/Eau), Glycerin, Coco-Glucoside, Betaine, Cetearyl Alcohol, Stearic Acid, Phenoxyethanol, Benzyl Alcohol, Xanthan Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Inulin, Ethylhexylglycerin, Sodium Hydroxide, Dehydroacetic Acid, Polyquaternium-10, Trisodium Ethylenediamine Disuccinate, Hydrolyzed Sodium Hyaluronate, Sodium Hyaluronate, Lecithin.']"
The INKEY List,Mandelic Acid Treatment,Facial Peels,$13 ,All,Helps reduce hyperpigmentation and is suitable for all skin types ,4.2,93,https://www.amazon.com/INKEY-List-Mandelic-Acid-Treatment/dp/B0C213SLKN,"['Aqua (Water/Eau), Propanediol, Mandelic Acid, Coco-Caprylate/Caprate, Cetearyl Alcohol, Glycerin, Sodium Hydroxide, Caprylic/Capric Triglyceride, Glyceryl Stearate, Candelilla/Jojoba/Rice Bran Polyglyceryl-3 Esters, Sodium Stearoyl Glutamate, Phenoxyethanol, Sodium Stearoyl Lactylate, Benzyl Alcohol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Copernicia Cerifera Cera, Retinol, Polysorbate 20, Ethylhexylglycerin, Dehydroacetic Acid, Helianthus Annuus Seed Oil, Trisodium Ethylenediamine Disuccinate, 1, 2-Hexanediol, Caprylyl Glycol, Disodium Cocoamphodiacetate, Tocopherol, Xanthan Gum, Ethyl Ferulate, Humulus Lupulus Extract.']"
The INKEY List,Rosehip Nourishing Night Oil,Face Oils,,All,"improve skin tone, texture and pigmentation and hydrates ",4.4,162,https://www.amazon.co.uk/INKEY-List-Rosehip-Smooth-Texture/dp/B09N9Y491X,['Rosa Canina Fruit Oil.']
The INKEY List,Alpha Arbutin Brightening Serum,Face Serums,$18.69 ,All,"Hydrating, Smooth Skin, Reduce Dark Spots and Hyperpigmentation, Plump skin",4.2,684,https://www.amazon.com/INKEY-LIST-Alpha-Arbutin-OZ/dp/B07WHK8NBQ,"['Water, Butylene Glycol, Propanediol, Glycerin, Alpha-Arbutin, DicaprylylCarbonate, Caprylic/Capric Triglyceride, Leuconostoc/Radish Root Ferment Filtrate, Hyaluronic Acid, Phenoxyethanol, Hydroxyethyl Acrylate/ Sodium Acryloyldimethyl Taurate Copolymer, Caprylyl Glycol, Squalane, Phospholipids, Glycine Soja (Soybean) Extract, Carbomer, Polysorbate 60, Disodium EDTA, Sodium Hydroxide, Glycolipids, Glycine Soja (Soybean) Sterol, Tetrapeptide -30.']"
The INKEY List,SuperSolutions 5% Benzoyl Peroxide Cleanser Acne Solution,Face Wash & Cleansers,$18 ,Dry,Helps with Blemishes and Moisture,3.6,13,https://www.amazon.com/INKEY-List-SuperSolutions-Peroxide-Cleanser/dp/B0BJ4F2B41,"['Water, Glycerin, Benzoyl Peroxide, Sodium Laurylglucosides Hydroxypropylsulfonate, Decyl Glucoside, Stearic Acidl Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Polyacrylate Crosspolymer-6, Sodium Chloride, Ethylhexylglycerin, Sodium Hydroxide, Polyquaternium-10, Trisodium Ethylenediamine Disuccinate, Sodium Hyaluronate, Hydrolyzed, Sodium Hyaluronate, T-Butyl Alcohol.']"
The INKEY List,SuperSolutions 1% Retinol Serum,Face Serums,$25.99 ,,help with stubborn marks scars or wrinkles which give the appearance of uneven texture and tone,4.2,50,https://www.amazon.com/INKEY-List-SuperSolutions-Retinol-Serum/dp/B0BJ4M9PCM,"['Water, Glycerin, Prunus Armeniaca (Apricot), Kernel Oil, Persea Gratissima (Avocado) Oil, Caprylic/Capric Triglyceride, Squalane, Cetearyl Alcohol, Glyceryl Stearate Se, Retinol, Phenoxyethanol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Benzyl Alcohol, Phospholipids, Tocopherol, Polyacrylate Crosspolymer-6, Glycine Soja (soybean) Oil, Ethylhexylglycerin, Glycolipids, Dehydroacetic Acid, Polysorbate 60, Sorbitan Isostearate, Trisodium Ethylenediamine Disuccinate, Glycine Soja (Soybean) Sterol & T-Butyl Alcohol.']"
The INKEY List,Symbright Brightening Moisturizer,Moisturizers,$25.99 ,Dry,improve the appearance of uneven skin tone while optimizing skin's moisture and hydration levels,4.3,200,https://www.amazon.com/INKEY-List-Symbright-Moisturizer-Brighten/dp/B092331S21,"['Water (Aqua /Eau), Glycerin, Glyceryl Stearate SE, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Stearic Acid, Phenoxyethanol, Benzyl Alcohol, Carbomer, Sclareolide, Mica, Kappaphycus Alvarezii Extract, Ethylhexylglycerin, Dehydroacetic Acid, Sodium Hydroxide, Terminalia Ferdinandiana Fruit Extract, Trisodium Ethylenediamine Disuccinate, Sea Water, CI 77891 (Titanium Dioxide).']"
The INKEY List,SuperSolutions 10% Azelaic Serum Redness Relief Solution,Face Serums,$18 ,All, visibly reduce the appearance of redness and soothe skin that feels irritated,4.3,32,https://www.amazon.com/INKEY-List-SuperSolutions-Azelaic-Solution/dp/B0BJ7JKRWY,"['Water, Azelaic Acid, Propanediol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Phenoxyethanol, Acacia Senegal Gum, Xanthan Gum, Allantoin, Glycerin, Ethylhexylglycerin, Polysorbate 60, Sorbitan Isostearate, Maltodextrin, Sodium Hydroxide, Hydrolyzed Gardenia Florida Extract, Gardenia Florida Fruit Extract & Polylysine.']"
The INKEY List,SuperSolutions 20% Niacinamide Serum,Face Serums,$17.99 ,All,"Smoothening, help balance excess oil, improve skin texture and reduce the appearance of pore size",4.3,44,https://www.amazon.com/INKEY-List-SuperSolutions-Niacinamide-Serum/dp/B0BL1N8H8R,"['Water, Niacinamide, Butylene Glycol, Squalane, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glycerin, Phenoxyethanol, Benzyl Alcohol, Ammonium Acryloyldimethyltaurate/VP Copolymer, Zinc PCA, Polysorbate 60, Ethylhexylglycerin, Dehydroacetic Acid, Sorbitan Isostearate & Trisodium Ethylenediamine Disuccinate.']"
The INKEY List,SuperSolutions 10% Urea Moisturizer Textured Skin Solution,Moisturizers,$19.99 ,Dry, instant hydration to soothe and nourish dry skin,4.3,29,https://www.amazon.com/INKEY-List-SuperSolutions-Moisturizer-Textured/dp/B0BJ4MY6HL,"['Water, Urea, Caprylic/Capric Triglyceride, Glycerin, Cetearyl Alcohol, Glyceryl Stearate Se, Squalane, Carthamus Tinctorius (Safflower) Seed Oil, Avena Sativa (Oat) Kernel Flour, Phenoxyethanol, Benzyl Alcohol, Sodium Carbomer, Sodium Stearoyl Glutamate, Citric Acid, Ethylhexylglycerin, Sodium Gluconate & Dehydroacetic Acid.']"
The INKEY List,C-50 Blemish Night Treatment,Face Serums,$17 ,,"targets breakouts, unclogs pores and reduces the appearance of redness by morning, elps to prevent and reduce blemishes",4.5,494,https://www.amazon.com/Inkey-List-Blemish-Night-Treatment/dp/B07Y5VF1Y7,"['Water (Aqua /Eau), Propanediol, Sodium Ascorbyl Phosphate, Salicylic Acid, Ammonium Acryloyldimethyl-taurate/VP Copolymer, Phenoxyethanol, Caprylyl/Capryl Glucoside, Xanthan Gum, Glycerin, Sodium Hydroxide, Madecassoside, Ethylhexylglycerin, Hydroxyacetophe-none, Sodium Gluconate, Sodium Metabisulfite, Lecithin, Ascorbyl Palmitate, Nelumbo Nucifera Flower Extract, Nymphaea Coerulea Flower Extract, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil.']"
The INKEY List,Polyglutamic Acid Dewy Sunscreen SPF 30,Face Sunscreen,$25.05 ,All,"Broad-spectrum SPF 30 protection, lightweight hydration, dewy finish",4.5,107,https://www.amazon.com/INKEY-List-Sunscreen-Non-Greasy-Polyglutamic/dp/B0CBT1JBM6,"['Water (Aqua / Eau), Octocrylene, Glycerin, Ethylhexyl Salicylate, Coco-Caprylate/Caprate, Butyl Methoxydibenzoylmethane, Phenylbenzimidazole Sulfonic Acid, Triheptanoin, Saccharomyces Ferment, Cetearyl Alcohol, Glyceryl Stearate SE, Tromethamine, Glyceryl Caprylate, Propanediol, C9-12 Alkane, Dilinoleic Acid/Butanediol Copolymer, Sodium Stearoyl Glutamate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Dimethicone, Squalane, Hectorite, Lauroyl Lysine, Hydroxyethylcellulose, Caprylhydroxamic Acid, Dimethiconol, Polysorbate 60, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Oryza Sativa (Purple Rice) Hull Extract, Castor Oil/IPDI Copolymer, Phenoxyethanol, Polyglutamic Acid, Sorbitan Isostearate, Camellia Sinensis (Purple Tea) Leaf Extract, Ipomoea Batatas (Purple Sweet Potato) Root Extract, Hydroxyacetophenone, Sodium Benzoate, 1,2-Hexanediol, Caprylyl Glycol, Lactobacillus Ferment Lysate, Saccharomyces Lysate.']"
